"Activate after the order value exceeds","Activate after the order value exceeds"
"3D Secure authentication will be required if <b>the order value</b> exceeds the value registered here.","3D Secure authentication will be required if <b>the order value</b> exceeds the value registered here."
"<p>We recommend using values that exceed the normal ticket, which may indicate possible fraud.</p>","<p>We recommend using values that exceed the normal ticket, which may indicate possible fraud.</p>"
"If the order contains the SKU","If the order contains the SKU"
"You can register multiple SKUs, use commas to separate them. 3D Secure authentication will be required if the <b>order contains the SKU</b>.","You can register multiple SKUs, use commas to separate them. 3D Secure authentication will be required if the <b>order contains the SKU</b>."
"<p>If you have products that are more sensitive to fraud, you can register these SKUs here.</p>","<p>If you have products that are more sensitive to fraud, you can register these SKUs here.</p>"
"If the customer has canceled the order in the last few","If the customer has canceled the order in the last few"
"Authentication via 3D Secure will be requested if the customer has an <b>order cancelled</b> within the chosen time period.","Authentication via 3D Secure will be requested if the customer has an <b>order cancelled</b> within the chosen time period."
"<p>When verifying that the customer has an order canceled within the chosen time interval, 3ds authentication will be requested.</p>","<p>When verifying that the customer has an order canceled within the chosen time interval, 3ds authentication will be requested.</p>"
"Capture phone in the payment form?","Capture phone in the payment form?"
"Installment and interest","Installment and interest"
"Maximum number of installment","Maximum number of installment"
"Maximum number of installments accepted","Maximum number of installments accepted"
"Number of interest-free installments","Number of interest-free installments"
"Number of installments you want to accept without applying interest","Number of installments you want to accept without applying interest"
"The minimum installment price","The minimum installment price"
"It is the minimum value that the installment can have","It is the minimum value that the installment can have"
"Pagar com PagBank","Pagar com PagBank"
"O botão de pagamento que deixa você um passo à frente da concorrência!","O botão de pagamento que deixa você um passo à frente da concorrência!"
Developers,Developers
"Meet our <a href='https://github.com/pagseguro/payment-magento/wiki'>Wiki</a>.","Meet our <a href='https://github.com/pagseguro/payment-magento/wiki'>Wiki</a>."
Debug,Debug
"Attention, you cannot use debug in production mode.","Attention, you cannot use debug in production mode."
"Account Id","Account Id"
"Your PagBank Account ID. Automatically captured after APP authorization.","Your PagBank Account ID. Automatically captured after APP authorization."
"Custom notification URL","Custom notification URL"
"You can use services like <a href='https://pipedream.com/'>Pipedream</a> to intercept outgoing notifications.","You can use services like <a href='https://pipedream.com/'>Pipedream</a> to intercept outgoing notifications."
"Exclude Status for Order Fetch via Cron","Exclude Status for Order Fetch via Cron"
"The selected statuses will be excluded from the cron flow for order update.","The selected statuses will be excluded from the cron flow for order update."
Pix,Pix
"Pix is with P for PagBank: just like PagBank, it is 100% digital and faster than traditional TEDs or DOCs.","Pix is with P for PagBank: just like PagBank, it is 100% digital and faster than traditional TEDs or DOCs."
"Deadline for payment","Deadline for payment"
"Attribute Relationship Definition","Attribute Relationship Definition"
"Relate store attributes with our API.","Relate store attributes with our API."
"The Tax ID (CPF/CNPJ) will be an attribute obtained from the","The Tax ID (CPF/CNPJ) will be an attribute obtained from the"
"The Street attribute is","The Street attribute is"
"The address number is","The address number is"
"The address locality is","The address locality is"
"The address complement is","The address complement is"
"Dois Cartões","Dois Cartões"
"[UNAUTHORIZED] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[UNAUTHORIZED] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40001] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[40001] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40002] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[40002] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40003] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[40003] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40004] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[40004] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40005] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco.","[40005] Estamos com um erro em nossa integração com o meio de pagamento, por favor entre em contato conosco."
"[40006] A captura desse pagamento já foi realizada ou expirou.","[40006] A captura desse pagamento já foi realizada ou expirou."
"[40007] Reembolso já realizado ou o valor solicitado acima do permitido.","[40007] Reembolso já realizado ou o valor solicitado acima do permitido."
"[20001] Por favor, entre em contato com a central do seu cartão. O número está no versão do cartão.","[20001] Por favor, entre em contato com a central do seu cartão. O número está no versão do cartão."
"[20003] Transação não autorizada, por favor utilize outro forma de pagamento.","[20003] Transação não autorizada, por favor utilize outro forma de pagamento."
"[20007] Por favor, verifique os dados do cartão.","[20007] Por favor, verifique os dados do cartão."
"[20008] Desculpe mas essa transação permite parcelamento, por favor utilize outro forma de pagamento.","[20008] Desculpe mas essa transação permite parcelamento, por favor utilize outro forma de pagamento."
"[20012] O valor dessa transação não é permitido, por favor utilize outro forma de pagamento.","[20012] O valor dessa transação não é permitido, por favor utilize outro forma de pagamento."
"[20016] Senha inválida, por favor utilize outro forma de pagamento.","[20016] Senha inválida, por favor utilize outro forma de pagamento."
"[20017] Transação não permitida, por favor utilize outro forma de pagamento.","[20017] Transação não permitida, por favor utilize outro forma de pagamento."
"[20018] Por favor, entre em contato com a central do seu cartão. O número está no versão do cartão.","[20018] Por favor, entre em contato com a central do seu cartão. O número está no versão do cartão."
"[20019] Falha de comunicação, por favor tente novamente.","[20019] Falha de comunicação, por favor tente novamente."
"[20039] Transação não permitida, por favor utilize outro forma de pagamento.","[20039] Transação não permitida, por favor utilize outro forma de pagamento."
"[20101] Senha inválida, por favor utilize outro forma de pagamento.","[20101] Senha inválida, por favor utilize outro forma de pagamento."
"[20102] Senha inválida, por favor utilize a sua nova senha ou use outra forma de pagamento.","[20102] Senha inválida, por favor utilize a sua nova senha ou use outra forma de pagamento."
"[20103] Ocorreu um excesso de tentativas, por favor contate sua central do cartão ou use outra forma de pagamento.","[20103] Ocorreu um excesso de tentativas, por favor contate sua central do cartão ou use outra forma de pagamento."
"[20104] Valor excedido, por favor contate a sua central do cartão ou use outra forma de pagamento.","[20104] Valor excedido, por favor contate a sua central do cartão ou use outra forma de pagamento."
"[20105] Quantidade de saques excedidas.","[20105] Quantidade de saques excedidas."
"[20110] Ocorreu um erro de integração por favor utilize outra forma de pagamento.","[20110] Ocorreu um erro de integração por favor utilize outra forma de pagamento."
"[20111] Ocorreu um erro de integração por favor utilize outra forma de pagamento.","[20111] Ocorreu um erro de integração por favor utilize outra forma de pagamento."
"[20112] O valor de captura está diferente do valor pré autorizado.","[20112] O valor de captura está diferente do valor pré autorizado."
"[20113] Por favor, utilize a função de crédito do cartão.","[20113] Por favor, utilize a função de crédito do cartão."
"[20114] Por favor, utilize a função de débito do cartão.","[20114] Por favor, utilize a função de débito do cartão."
"[20115] Saque não disponível.","[20115] Saque não disponível."
"[20116] Dados do cartão estão inválidos, por favor verifique todos os dados e tente novamente.","[20116] Dados do cartão estão inválidos, por favor verifique todos os dados e tente novamente."
"[20117] Há um erro no cartão, por favor utilize outro ou outra forma de pagamento.","[20117] Há um erro no cartão, por favor utilize outro ou outra forma de pagamento."
"[20118] O pagamento recorrente está suspenso.","[20118] O pagamento recorrente está suspenso."
"[20119] Refazer a transação.","[20119] Refazer a transação."
"[20158] Não autorizada, por favor tente novamente mais tarde.","[20158] Não autorizada, por favor tente novamente mais tarde."
"[20159] Não autorizada, por favor tente novamente mais tarde usando a autenticação.","[20159] Não autorizada, por favor tente novamente mais tarde usando a autenticação."
"[20169] O cartão não permite transação internacional, por favor use outro cartão ou outra forma de pagamento.","[20169] O cartão não permite transação internacional, por favor use outro cartão ou outra forma de pagamento."
"[20301] Seu cartão está bloqueado, por favor entre em contato com a sua central de atendimento (o número está no verso) ou use outra forma de pagamento.","[20301] Seu cartão está bloqueado, por favor entre em contato com a sua central de atendimento (o número está no verso) ou use outra forma de pagamento."
"[20999] O lojista deverá entrar em contato com o PagBank antes de você realizar uma nova tentativa.","[20999] O lojista deverá entrar em contato com o PagBank antes de você realizar uma nova tentativa."
"[10000] Transação não autorizada, por favor utilize outro forma de pagamento.","[10000] Transação não autorizada, por favor utilize outro forma de pagamento."
"[10001] Quantidade de tentativas excedidas, por favor use outra forma de pagamento.","[10001] Quantidade de tentativas excedidas, por favor use outra forma de pagamento."
"[10002] Transação não autorizada, por favor utilize outro forma de pagamento.","[10002] Transação não autorizada, por favor utilize outro forma de pagamento."
"[10003] Transação inválida, por favor utilize outra forma de pagamento.","[10003] Transação inválida, por favor utilize outra forma de pagamento."
"[10004] Transação não permitida, por favor utilize outro forma de pagamento.","[10004] Transação não permitida, por favor utilize outro forma de pagamento."
"PagBank Interest","PagBank Interest"
"first_cc_installments","1ª Installments"
"first_cc_type", "1ª Card Type"
"first_cc_number", "1ª Card Number"
"first_cc_exp_month", "1ª Expiration Month"
"first_cc_exp_year", "1ª Expiration Year"
"first_cc_cardholder_name", "1ª Cardholder Name"
"first_payer_tax_id", "1ª Payer Tax ID"
"first_payer_phone", "1ª Payer Phone"
"first_three_ds_session", "1ª 3DS Session"
"first_three_ds_auth", "1ª 3DS Auth"
"first_three_ds_auth_status", "1ª 3DS Auth Status"
"first_cc_authorization_code", "1ª Authorization Code"
"first_cc_nsu", "1ª NSU"
"first_cc_amount", "1ª Amount"
"second_cc_installments", "2ª Installments"
"second_cc_type", "2ª Card Type"
"second_cc_number", "2ª Card Number"
"second_cc_exp_month", "2ª Expiration Month"
"second_cc_exp_year", "2ª Expiration Year"
"second_cc_cardholder_name", "2ª Cardholder Name"
"second_payer_tax_id", "2ª Payer Tax ID"
"second_payer_phone", "2ª Payer Phone"
"second_three_ds_session", "2ª 3DS Session"
"second_three_ds_auth", "2ª 3DS Auth"
"second_three_ds_auth_status", "2ª 3DS Auth Status"
"second_cc_authorization_code", "2ª Authorization Code"
"second_cc_nsu", "2ª NSU"
"second_cc_amount", "2ª Amount"
